datetime_local,relative_humidity_2m,dew_point_2m,apparent_temperature,pressure_msl,wind_speed_10m,cloud_cover,shortwave_radiation,wet_bulb_temperature_2m,month_local,wind_unit_x,wind_unit_y,DMT,tmin,tmax,EHI_sig,EHI_accl,EHF,EHF_sev,precipitation,wind_direction_compass,severity,heat_wave
2000-01-01 00:00:00+10:30,58.37595383326212,6.854583263397217,11.690625270207724,1018.404172261556,22.48141098022461,25.791666666666668,338.2083333333333,10.507936358451843,1.0,-0.8589996124307314,0.47994943894445896,16.014999866485596,12.289999961853027,19.739999771118164,-8.06208335558572,-1.3850000063578245,-8.06208335558572,0.0,0.0,SE,No-heatwave,False
2000-01-02 00:00:00+10:30,53.89429155985514,8.606666763623556,17.56299873193105,1014.966667175293,13.889992147684097,17.791666666666668,381.6666666666667,13.051835417747498,1.0,-0.5901695851547023,0.2735803369432688,19.69000005722046,13.890000343322754,25.489999771118164,-7.820416561762478,-0.8574998537699337,-7.820416561762478,0.0,0.0,SE,No-heatwave,False
2000-01-03 00:00:00+10:30,59.92295694351196,10.537916978200277,17.466684341430664,1013.2083384195963,17.923586030801136,18.916666666666668,377.5,14.051188151041666,1.0,-0.7389645402630171,-0.030933450286587085,18.98999929428101,12.789999961853027,25.189998626708984,-8.895416688919056,-2.030833323796585,-8.895416688919056,0.0,0.0,SE,No-heatwave,False
2000-01-04 00:00:00+10:30,51.37394094467163,5.492083311080933,11.487354159355164,1020.4166641235352,27.43324851989746,17.791666666666668,379.5833333333333,10.278887669245401,1.0,-0.9850432003537813,0.11213779375733184,16.740000247955322,13.140000343322754,20.34000015258789,-9.395416688919056,-2.589166625340777,-9.395416688919056,0.0,0.0,S,No-heatwave,False
2000-01-05 00:00:00+10:30,54.4468609491984,6.762916545073192,12.839373668034872,1022.7750040690104,21.99923578898112,32.166666666666664,361.125,10.918418367703756,1.0,-0.9045160586635271,0.4006294583280881,16.464999675750732,11.890000343322754,21.03999900817871,-8.62875027656554,-1.7650002320607463,-8.62875027656554,0.0,0.0,S,No-heatwave,False
2000-01-06 00:00:00+10:30,60.43052101135254,8.146250148614248,13.89330248037974,1019.9666620890299,20.898099025090534,0.75,381.7083333333333,11.814800580342611,1.0,-0.8183103774984678,0.44699334842152894,17.489999294281006,12.289999961853027,22.689998626708984,-6.145417165756214,1.011666202545168,-6.217110847136479,0.0,0.0,SE,No-heatwave,False
2000-01-07 00:00:00+10:30,56.278249184290566,8.48791672786077,15.949049552281698,1017.1041717529297,18.169145743052166,28.958333333333332,361.6666666666667,12.663386146227518,1.0,-0.7115969148774942,0.35411483080436784,19.03999948501587,13.140000343322754,24.939998626708984,-4.21208392779031,3.240832789738977,-13.65065970631538,0.0,0.0,SE,No-heatwave,False
2000-01-08 00:00:00+10:30,47.96222106615702,7.712916801373164,20.52120280265808,1013.8999964396158,9.666758040587107,49.666666666666664,370.4166666666667,13.877808252970377,1.0,-0.3918551318347454,0.17295926855877045,23.91499900817871,19.189998626708984,28.63999938964844,-1.9120838960011681,5.574166186650597,-10.658273399128843,0.0,0.0,SE,No-heatwave,False
2000-01-09 00:00:00+10:30,39.65286413828532,8.819166898727417,22.560111840565998,1011.8708292643229,9.515736177563667,70.20833333333333,297.2083333333333,15.104992071787516,1.0,-0.5757037393024946,0.18075574251512685,23.28999900817871,17.189998626708984,29.38999938964844,0.2295828342437857,7.447499608993535,1.7098180682622222,0.060811957007816,0.0,SE,Low-intensity,True
2000-01-10 00:00:00+10:30,38.72316447893778,8.781666815280914,23.36927366256714,1011.6499964396158,13.573422094186148,17.125,378.625,15.559166510899862,1.0,-0.6381767181058725,0.2194055076688528,25.9399995803833,20.13999938964844,31.739999771118164,2.387916294733696,9.38249975840251,22.40462405842432,0.7968502967113514,0.0,SE,Low-intensity,True
2000-01-11 00:00:00+10:30,30.417192935943604,8.740000307559967,27.38680863380432,1011.2041625976562,12.552295307318369,7.333333333333333,370.75,17.007938146591187,1.0,0.06138756281385819,0.81676468004783,30.33999919891357,25.78999900817871,34.88999938964844,3.8295828978220734,10.474166377385462,40.11168842777836,1.4266256261171282,0.0,SE,Severe,True
2000-01-12 00:00:00+10:30,22.38537895679474,6.100416560967763,27.67972421646118,1011.4416732788086,17.553810238838196,23.166666666666668,373.0833333333333,16.635195016860962,1.0,0.2991193109191954,0.8369127760330836,29.76499938964844,24.939998626708984,34.59000015258789,2.9545832157135123,9.145000044504805,27.019663639193215,0.9609903264516656,0.0,NE,Low-intensity,True
2000-01-13 00:00:00+10:30,26.124924580256145,7.806666652361552,27.257782379786175,1010.8249969482422,17.914489189783733,90.91666666666667,334.4166666666667,17.104230721791584,1.0,0.21749944860736534,0.06395748116925759,30.26499938964844,25.13999938964844,35.38999938964844,2.99624988238018,8.8841667175293,26.61918348244308,0.9467467162531108,0.0,NE,Low-intensity,True
2000-01-14 00:00:00+10:30,32.804391860961914,9.821250200271606,26.488744656244915,1010.3666636149088,16.596457839012146,86.33333333333333,310.5,17.44533411661784,1.0,-0.09965516549224655,0.12201040944901405,27.71500015258789,21.84000015258789,33.59000015258789,3.187916167577121,8.936666329701747,28.48934307669829,1.0132614332014411,0.0,S,Severe,True
