params_C,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
1.0,0.8097,0.0116,0.7134,0.0577,0.704,0.0826,0.9881,0.0016,0.9746,0.0076,0.6194,0.0231,0.526,0.1322,0.7878,0.0129,0.7665,0.0695,1.4621,0.4152
0.1,0.7433,0.0159,0.7062,0.0634,0.696,0.0887,0.984,0.0011,0.9772,0.0088,0.4931,0.0219,0.4304,0.1059,0.7852,0.0235,0.7976,0.0906,0.27,0.0579
25.0,0.8194,0.0138,0.6987,0.0586,0.6891,0.0846,0.9887,0.0019,0.9713,0.008,0.6453,0.0362,0.5456,0.1493,0.7819,0.0124,0.7003,0.0211,7.3741,1.8695
100.0,0.8194,0.0137,0.6985,0.0576,0.6888,0.0839,0.9887,0.0019,0.9712,0.0078,0.6453,0.0363,0.5456,0.1493,0.7818,0.0114,0.6929,0.0065,12.4407,2.3994
50.0,0.8194,0.0137,0.6985,0.058,0.6888,0.0841,0.9887,0.0019,0.9712,0.0078,0.6464,0.0369,0.5456,0.1493,0.782,0.0117,0.7003,0.0211,7.842,1.7728
