model,param,fold,test_recall,test_precision,test_pr_auc,test_roc_auc,test_pr_auc_adj,train_recall,train_precision,train_pr_auc,train_roc_auc,train_pr_auc_adj,time,n_estimators
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 3, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",2,0.8205128205128205,0.47761194029850745,0.6851095446341033,0.9725407250732866,0.63581258737284,1.0,0.610738255033557,0.9939288241095785,0.9997398509175811,0.9939268587969834,1.660232721000284,404
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 3, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",3,0.8529411764705882,0.5178571428571429,0.7330663569869371,0.982631845841785,0.7205655778102337,1.0,0.6242937853107344,0.9930250200136667,0.9997124561056386,0.9929947116908365,1.8579623690002336,455
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 3, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",4,0.7631578947368421,0.47540983606557374,0.6311981999090276,0.9678658351080012,0.5959919800808171,1.0,0.5930232558139535,0.98308366647662,0.999257076712617,0.983079391946174,1.9787238249991788,453
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 3, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",5,0.8709677419354839,0.5294117647058824,0.7709567203029616,0.9878628455397112,0.7766392591559931,1.0,0.7343358395989975,0.9993741999217787,0.9999717487420041,0.9993739812584381,3.182908894999855,773
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 3, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",1,0.6086956521739131,0.9333333333333333,0.8278627144422658,0.9874546460857266,0.8556965861982551,0.8364779874213837,0.9779411764705882,0.9774484078289098,0.998796468200855,0.9774473877097614,1.4374563569999737,245
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 3, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",2,0.5384615384615384,0.8076923076923077,0.7805968573609987,0.9793684366766856,0.7460959745197464,0.6703296703296703,0.9384615384615385,0.9268293396474815,0.9961291385274256,0.9268235424332649,1.4959154859989212,151
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 3, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",3,0.38235294117647056,0.6842105263157895,0.6649074823733542,0.9795047329276537,0.6490406117287588,0.6561085972850679,0.9235668789808917,0.9160048546907168,0.9952735550225875,0.9159509710838925,1.3138230389995442,165
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 3, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",4,0.34210526315789475,0.65,0.6082785002994467,0.9649376331000912,0.5729101522318012,0.6313725490196078,0.8797814207650273,0.8879899088457406,0.9939022764740959,0.8879801690289071,0.85982000399963,149
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 3, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",5,0.5483870967741935,0.8095238095238095,0.778131761940051,0.9836171489224237,0.7833524634181865,0.7406143344709898,0.9393939393939394,0.9477151632590317,0.997127064379184,0.9477056086664246,1.3425159260004875,274
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 4, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",1,0.8260869565217391,0.6129032258064516,0.8177703751224552,0.9891150605743805,0.8487500605274949,1.0,0.9754601226993865,1.0,1.0,1.0,2.6482182439995086,538
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.1, 'max_depth': 4, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",2,0.7692307692307693,0.5084745762711864,0.7369635007509995,0.9709822256855543,0.6986188935934148,1.0,0.6715867158671587,0.9987346578371028,0.9999464014453309,0.9987339736596714,1.7871212030004244,280
