params_max_depth,params_learning_rate,params_n_estimators,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
2.0,0.2,100.0,0.797,0.0423,0.686,0.0977,0.6738,0.12,0.9887,0.0026,0.9747,0.0104,0.5635,0.0378,0.4534,0.102,0.7916,0.0374,0.7197,0.1733,12.0271,2.638
2.0,0.1,125.0,0.7816,0.0323,0.6858,0.1082,0.6731,0.1326,0.9878,0.0022,0.9746,0.0109,0.5028,0.0355,0.3845,0.0847,0.8133,0.0287,0.7607,0.1605,14.8967,3.1271
4.0,0.2,75.0,0.9965,0.0046,0.6854,0.0778,0.656,0.1221,0.9998,0.0002,0.9783,0.0069,0.9624,0.0449,0.4597,0.0669,0.9834,0.0166,0.7266,0.0834,17.7497,4.2677
2.0,0.2,50.0,0.7695,0.0372,0.6845,0.1077,0.6722,0.1301,0.9868,0.0025,0.9743,0.012,0.5326,0.0207,0.425,0.0809,0.7934,0.0505,0.7269,0.1782,6.1781,1.5222
2.0,0.2,125.0,0.8094,0.046,0.6843,0.0936,0.672,0.1171,0.9896,0.0028,0.9749,0.0096,0.5949,0.0669,0.4598,0.1053,0.7999,0.0409,0.6956,0.1227,15.4163,3.1741
5.0,0.2,125.0,1.0,0.0,0.6833,0.0603,0.6651,0.1009,1.0,0.0,0.9752,0.0052,1.0,0.0,0.4674,0.0871,1.0,0.0,0.7724,0.0846,36.1757,6.9936
2.0,0.1,100.0,0.7726,0.0305,0.6811,0.1098,0.6682,0.1332,0.9871,0.002,0.9743,0.0115,0.4896,0.0254,0.3845,0.0847,0.8107,0.0214,0.7917,0.178,12.1322,2.3921
2.0,0.3,75.0,0.7984,0.0482,0.6808,0.0933,0.6698,0.114,0.9891,0.0028,0.9739,0.0097,0.5843,0.0309,0.4542,0.0878,0.7837,0.0535,0.7161,0.1615,9.29,2.3584
4.0,0.1,50.0,0.9669,0.0315,0.6802,0.0696,0.6476,0.1125,0.9984,0.0016,0.9728,0.0113,0.8497,0.0833,0.4613,0.1192,0.9391,0.0381,0.6997,0.0495,11.778,2.2854
2.0,0.3,125.0,0.8461,0.0589,0.6801,0.0893,0.6687,0.1119,0.9919,0.0033,0.9747,0.0087,0.6306,0.0641,0.4586,0.0934,0.8154,0.05,0.7173,0.1332,15.8914,3.729
2.0,0.3,100.0,0.8205,0.0565,0.6797,0.0903,0.669,0.1118,0.9904,0.0032,0.9739,0.0093,0.6017,0.0532,0.477,0.0841,0.7913,0.0465,0.7294,0.1578,12.6788,2.818
2.0,0.1,75.0,0.7532,0.0199,0.6795,0.11,0.6681,0.134,0.9859,0.0014,0.9743,0.0119,0.4695,0.0168,0.3807,0.0704,0.8026,0.0309,0.7819,0.1608,8.9124,1.9641
5.0,0.1,125.0,1.0,0.0,0.6776,0.098,0.6577,0.1423,1.0,0.0,0.9713,0.0144,0.9993,0.0015,0.4538,0.0731,0.9993,0.0015,0.7327,0.0955,31.988,8.4102
2.0,0.3,50.0,0.7734,0.0483,0.6758,0.1037,0.665,0.1249,0.9873,0.0028,0.9733,0.011,0.5606,0.048,0.4592,0.0976,0.7672,0.0267,0.7021,0.1354,6.2796,1.5795
2.0,0.1,50.0,0.7387,0.0145,0.6694,0.1053,0.6591,0.1289,0.9848,0.0013,0.9733,0.0126,0.4498,0.0389,0.3875,0.0922,0.7985,0.015,0.7978,0.1691,6.1984,1.5973
5.0,0.1,100.0,1.0,0.0,0.6635,0.088,0.6443,0.1361,1.0,0.0,0.9688,0.0149,0.9993,0.0015,0.448,0.0811,0.9993,0.0015,0.7456,0.0802,25.6669,7.0473
5.0,0.1,50.0,0.9999,0.0002,0.6597,0.0804,0.6453,0.1218,1.0,0.0,0.9685,0.0154,0.995,0.0076,0.4789,0.1134,0.9978,0.0031,0.7486,0.0797,13.163,3.6748
5.0,0.1,75.0,1.0,0.0001,0.6583,0.0854,0.6389,0.134,1.0,0.0,0.9686,0.0149,0.9963,0.0054,0.4544,0.0858,0.9985,0.002,0.7335,0.0783,19.1696,5.2161
5.0,0.2,100.0,1.0,0.0,0.6549,0.0825,0.6296,0.1274,1.0,0.0,0.9749,0.006,1.0,0.0,0.4646,0.0792,1.0,0.0,0.7535,0.0617,27.9156,5.7232
5.0,0.2,50.0,1.0,0.0,0.647,0.0892,0.6168,0.1366,1.0,0.0,0.9689,0.0148,1.0,0.0,0.4882,0.1189,1.0,0.0,0.7345,0.0499,14.0706,3.4241
5.0,0.2,75.0,1.0,0.0,0.6421,0.0815,0.6075,0.1347,1.0,0.0,0.9739,0.0067,1.0,0.0,0.4765,0.1196,1.0,0.0,0.7683,0.0945,20.5012,4.6252
