params_C,params_degree,params_gamma,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
0.1,3,100,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.797,0.3525
1.0,3,0.1,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.5246,0.1447
10.0,3,100,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.6013,0.3458
10.0,3,10,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.5186,0.1635
100.0,3,0.01,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.5358,0.1685
25.0,3,0.1,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.519,0.1585
25.0,3,100,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.7929,0.4334
100.0,3,10,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.7811,0.1216
100.0,3,0.1,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.5236,0.1612
100.0,3,100,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.5361,0.1954
10.0,3,0.1,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.5228,0.1505
100.0,3,auto,1.0,0.0,0.6135,0.0788,0.582,0.1101,1.0,0.0,0.9208,0.0193,1.0,0.0,0.5695,0.0832,1.0,0.0,0.6504,0.0604,0.5198,0.1417
