params_eta,params_gamma,params_lambda,params_max_depth,params_scale_pos_weight,param_n_estimators_mean,param_n_estimators_std,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
0.125,0.1,0.75,3,False,46.0,16.867127793433,0.9293,0.0434,0.7384,0.0516,0.7305,0.0718,0.9959,0.0026,0.9799,0.0067,0.7542,0.0904,0.5136,0.0334,0.9129,0.0503,0.7843,0.0746,0.6218,0.2238
0.025,0.5,0.5,3,False,203.2,51.4509475131411,0.9304,0.0254,0.7383,0.0879,0.7279,0.1079,0.9962,0.0014,0.9795,0.0083,0.7198,0.051,0.49,0.0986,0.9285,0.0373,0.7819,0.1049,1.2942,0.526
0.075,0.0,0.75,3,False,67.0,12.186057606953941,0.9264,0.0393,0.7383,0.0607,0.7293,0.0844,0.9959,0.0023,0.9795,0.007,0.7291,0.0689,0.4581,0.0519,0.9308,0.0497,0.7894,0.0799,0.7381,0.204
0.025,0.75,0.5,3,False,201.4,66.11202613745853,0.9276,0.0307,0.7383,0.0846,0.728,0.1048,0.996,0.0018,0.9795,0.0082,0.7135,0.0731,0.4959,0.0936,0.9282,0.0407,0.7849,0.1009,1.2784,0.5471
0.125,1.0,1.0,2,False,71.8,32.2055895769663,0.889,0.0459,0.7383,0.0758,0.727,0.0966,0.9935,0.0027,0.979,0.0087,0.6517,0.0762,0.5002,0.089,0.896,0.0393,0.8243,0.1207,0.458,0.0992
0.025,0.1,0.5,3,True,586.4,155.88232741398238,0.9961,0.0032,0.7382,0.0729,0.7247,0.1008,0.9998,0.0001,0.9808,0.0089,1.0,0.0,0.8128,0.0542,0.7116,0.1229,0.5308,0.0231,2.6674,0.6937
0.125,0.0,0.1,2,True,193.2,44.81852295647415,0.983,0.0081,0.7382,0.0801,0.7248,0.1096,0.9993,0.0003,0.9799,0.0087,1.0,0.0,0.8237,0.0705,0.6287,0.0174,0.5006,0.0195,0.7603,0.1923
0.05,0.75,0.5,3,True,304.4,87.95055429046482,0.988,0.0231,0.738,0.0732,0.7258,0.0985,0.9995,0.001,0.9803,0.01,1.0,0.0,0.8091,0.0734,0.7282,0.1562,0.5249,0.0494,1.2997,0.2422
0.075,0.5,1.0,5,True,134.4,25.115732121520963,1.0,0.0,0.738,0.0675,0.729,0.09,1.0,0.0,0.9802,0.0073,1.0,0.0,0.7323,0.0971,0.9184,0.0736,0.5814,0.0479,1.369,0.3163
0.125,0.5,0.1,2,True,191.4,74.41303649227062,0.9699,0.0391,0.738,0.0863,0.725,0.1125,0.9987,0.0017,0.9799,0.0089,1.0,0.0,0.8458,0.0673,0.6181,0.1024,0.4931,0.0551,0.7452,0.2323
0.05,1.0,1.0,3,False,106.4,32.09828655863113,0.9265,0.0363,0.7379,0.0794,0.7271,0.1,0.9959,0.0021,0.9798,0.0078,0.7168,0.0815,0.5035,0.1152,0.9262,0.031,0.7924,0.1216,0.6522,0.1477
0.075,1.0,0.75,5,False,52.8,15.959323293924465,0.9898,0.0076,0.7378,0.0623,0.7294,0.0822,0.9995,0.0004,0.9795,0.0057,0.9013,0.0591,0.4433,0.0903,0.9791,0.0135,0.7643,0.0641,0.7635,0.3496
0.05,0.0,1.0,5,True,186.0,34.03674485023502,0.9999,0.0002,0.7378,0.0676,0.7272,0.0895,1.0,0.0,0.9802,0.007,1.0,0.0,0.7347,0.1237,0.8773,0.0858,0.5451,0.0289,1.9225,0.4902
0.125,0.1,0.5,2,True,213.0,70.78841713161836,0.9823,0.0193,0.7377,0.0663,0.7252,0.0943,0.9993,0.0008,0.9807,0.0069,1.0,0.0,0.8368,0.0621,0.6438,0.0751,0.5228,0.0178,1.1088,0.4753
0.05,0.75,0.1,3,False,85.4,20.815859338494775,0.9139,0.045,0.7375,0.0932,0.7278,0.1115,0.9952,0.0025,0.9792,0.0085,0.682,0.0864,0.4863,0.115,0.9126,0.051,0.8114,0.1459,0.5709,0.0458
0.025,0.75,0.5,4,False,172.8,41.215288425534524,0.9722,0.0154,0.7374,0.0744,0.7271,0.0961,0.9985,0.0008,0.9798,0.0079,0.8284,0.0756,0.4781,0.1223,0.9637,0.0218,0.7588,0.0615,1.0906,0.1941
0.075,0.1,1.0,3,True,214.8,35.15252480263686,0.999,0.0013,0.7373,0.0661,0.7258,0.0943,1.0,0.0001,0.9811,0.0086,1.0,0.0,0.8137,0.0896,0.7332,0.0668,0.5638,0.0367,1.0728,0.2727
0.1,1.0,0.75,4,True,147.0,89.02527730931254,0.9996,0.0009,0.7373,0.0596,0.7272,0.0831,1.0,0.0,0.9804,0.0075,1.0,0.0,0.7767,0.0698,0.8282,0.1003,0.5772,0.0284,0.951,0.2335
0.075,0.0,1.0,4,True,160.2,45.124272847326864,0.9998,0.0004,0.7373,0.0625,0.7264,0.0875,1.0,0.0,0.9805,0.0079,1.0,0.0,0.7747,0.0958,0.833,0.1112,0.5509,0.0513,1.4247,0.3677
0.125,0.5,1.0,2,False,62.4,16.75708805252273,0.8772,0.0416,0.7372,0.0763,0.7268,0.0974,0.9927,0.0025,0.9784,0.0084,0.631,0.0664,0.4786,0.0617,0.8835,0.0323,0.8291,0.1212,0.5524,0.1533
0.1,0.75,0.75,2,False,79.6,22.886677347312784,0.8846,0.0446,0.7372,0.0763,0.726,0.1001,0.993,0.003,0.9783,0.0078,0.6391,0.068,0.475,0.0714,0.8906,0.04,0.8252,0.1078,0.4691,0.0586
0.1,0.5,1.0,3,True,189.6,39.62070165961224,0.9984,0.0036,0.7372,0.0605,0.7251,0.0888,0.9999,0.0002,0.9808,0.008,1.0,0.0,0.7739,0.0576,0.8061,0.1174,0.5968,0.0273,0.9887,0.257
0.025,1.0,0.75,3,False,196.8,51.26109635971513,0.923,0.0325,0.7371,0.0795,0.7275,0.0997,0.9957,0.0018,0.9794,0.0081,0.7019,0.0723,0.5024,0.099,0.9242,0.0411,0.78,0.1094,0.9555,0.1885
0.025,0.0,0.5,3,True,591.4,134.3495441004546,0.9959,0.003,0.7371,0.0811,0.7225,0.1091,0.9998,0.0001,0.9804,0.0095,1.0,0.0,0.8031,0.064,0.7153,0.1325,0.5193,0.0428,2.6589,0.3272
0.025,0.0,1.0,5,True,362.4,67.30378889780279,1.0,0.0,0.7369,0.0737,0.7276,0.0951,1.0,0.0,0.9797,0.0072,1.0,0.0,0.7558,0.089,0.8611,0.1114,0.5586,0.0274,3.2842,0.7402
0.075,0.75,0.75,2,False,98.6,43.258525171346285,0.8677,0.0447,0.7368,0.0765,0.7264,0.0988,0.992,0.0027,0.9781,0.0084,0.6032,0.0773,0.4763,0.0777,0.8825,0.0425,0.8484,0.1103,0.5285,0.1189
0.025,0.1,0.75,3,True,550.4,120.62669687925639,0.9969,0.0026,0.7368,0.0714,0.724,0.0996,0.9999,0.0001,0.9808,0.0091,1.0,0.0,0.8227,0.0707,0.6648,0.0393,0.5241,0.02,2.5253,1.0218
0.05,0.1,0.5,3,False,113.6,43.535043355898935,0.9342,0.0409,0.7368,0.091,0.7247,0.1104,0.9963,0.0023,0.9797,0.0084,0.7424,0.1032,0.4993,0.1162,0.9296,0.0447,0.7747,0.1451,0.6614,0.147
0.025,0.75,0.75,3,True,598.6,98.490101025433,0.9973,0.0047,0.7367,0.0655,0.725,0.0934,0.9999,0.0002,0.9808,0.0094,1.0,0.0,0.8162,0.0602,0.7052,0.0633,0.529,0.0298,2.6588,0.5977
0.125,0.0,0.5,2,True,204.4,81.0141962868237,0.9716,0.0404,0.7367,0.0661,0.7244,0.0951,0.9988,0.0018,0.9804,0.0069,1.0,0.0,0.8368,0.0621,0.626,0.1069,0.5101,0.0357,0.8165,0.2191
0.125,0.0,0.75,2,True,217.6,89.69559632445731,0.982,0.0164,0.7366,0.0739,0.7243,0.1033,0.9993,0.0007,0.9809,0.008,1.0,0.0,0.8757,0.075,0.6367,0.0765,0.5352,0.0389,0.8302,0.3175
0.025,0.1,1.0,4,False,188.2,50.81043199973801,0.9742,0.0178,0.7366,0.0727,0.726,0.0941,0.9987,0.0009,0.9801,0.0077,0.8324,0.0609,0.4906,0.1109,0.9649,0.0212,0.7624,0.083,1.4933,0.288
0.125,0.75,0.5,3,False,41.2,9.984988733093292,0.9276,0.0269,0.7366,0.0632,0.7279,0.0869,0.9959,0.0016,0.9802,0.0073,0.7355,0.0375,0.5113,0.0844,0.9168,0.0404,0.7703,0.0785,0.6511,0.2926
0.1,0.0,1.0,4,False,49.6,9.09945053286186,0.9735,0.018,0.7365,0.0527,0.7267,0.0755,0.9986,0.001,0.9801,0.0057,0.8393,0.0677,0.5064,0.0771,0.9579,0.0246,0.758,0.1065,0.5515,0.0747
0.125,0.75,1.0,3,True,143.2,18.793615937333616,0.9998,0.0005,0.7365,0.0683,0.7236,0.0958,1.0,0.0,0.9804,0.0085,1.0,0.0,0.7859,0.0785,0.7927,0.0655,0.567,0.0261,1.1084,0.3407
0.125,1.0,0.75,4,False,43.4,12.660963628413123,0.9751,0.0248,0.7364,0.0522,0.7268,0.0776,0.9987,0.0014,0.9799,0.0065,0.8673,0.0792,0.5191,0.0734,0.9642,0.0328,0.7564,0.0466,0.6119,0.1508
0.025,0.0,0.5,3,False,207.6,56.8796976081976,0.9318,0.0294,0.7364,0.0869,0.726,0.1069,0.9962,0.0016,0.9795,0.0083,0.73,0.0627,0.49,0.0986,0.9329,0.0394,0.7833,0.1167,1.1659,0.6263
0.05,1.0,0.1,3,False,92.4,21.243822631532208,0.9283,0.0243,0.7364,0.0814,0.7271,0.099,0.996,0.0014,0.9795,0.0074,0.7035,0.0657,0.4821,0.1005,0.9298,0.0259,0.7767,0.0635,0.599,0.1016
0.125,0.1,0.5,3,True,127.6,18.20164827701052,0.9985,0.0027,0.7362,0.0675,0.7244,0.0942,0.9999,0.0001,0.9801,0.0084,1.0,0.0,0.8053,0.0526,0.7462,0.0638,0.5487,0.0124,0.7376,0.1082
0.1,0.5,1.0,5,False,37.2,10.329569206893384,0.9872,0.0109,0.7361,0.0656,0.7267,0.0859,0.9993,0.0006,0.9793,0.007,0.8736,0.0717,0.5144,0.0767,0.9824,0.0146,0.7872,0.0928,0.5528,0.0933
0.075,1.0,0.75,3,False,63.0,19.73575435599055,0.9125,0.0441,0.7361,0.0744,0.7256,0.0964,0.9951,0.0026,0.9791,0.0077,0.6995,0.0915,0.4655,0.0915,0.9038,0.0505,0.7622,0.0819,0.5172,0.054
0.1,1.0,1.0,3,True,215.6,122.14253968212712,0.999,0.0012,0.736,0.0632,0.7236,0.0908,1.0,0.0,0.981,0.0078,1.0,0.0,0.7919,0.07,0.7654,0.1142,0.5404,0.0314,0.9318,0.1935
0.125,1.0,0.1,2,True,158.4,62.68412877276034,0.9541,0.029,0.736,0.0873,0.7227,0.1143,0.9981,0.0012,0.9797,0.0083,1.0,0.0,0.8478,0.0762,0.5838,0.1287,0.4729,0.0495,0.6645,0.1449
0.05,0.5,0.75,3,False,91.2,17.93599732381782,0.9138,0.039,0.736,0.0747,0.7269,0.095,0.9951,0.0023,0.9795,0.0077,0.6989,0.0611,0.483,0.0888,0.9206,0.0434,0.7431,0.0636,0.6007,0.0679
0.05,1.0,0.75,3,True,294.2,83.51167583038914,0.9966,0.005,0.736,0.0676,0.7237,0.0964,0.9999,0.0002,0.9808,0.0086,1.0,0.0,0.819,0.0696,0.6898,0.0656,0.5354,0.0366,1.6185,0.2307
0.125,0.5,0.75,2,False,54.2,10.449880382090505,0.8605,0.0364,0.7359,0.072,0.7257,0.0941,0.9917,0.0022,0.9775,0.0087,0.6135,0.0543,0.4854,0.0624,0.8691,0.0382,0.8205,0.1395,0.4641,0.126
0.1,0.5,0.75,2,False,77.8,22.554378732299412,0.8811,0.0469,0.7359,0.0763,0.7249,0.1003,0.9928,0.0031,0.9783,0.0079,0.6373,0.0805,0.4686,0.0682,0.8871,0.0431,0.8332,0.1109,0.732,0.1445
0.1,0.5,1.0,5,True,93.8,21.77613372479146,1.0,0.0,0.7359,0.0694,0.7269,0.0905,1.0,0.0,0.9797,0.0069,1.0,0.0,0.7286,0.0982,0.8772,0.0963,0.5485,0.038,1.2791,0.2976
0.125,0.5,0.75,5,False,34.0,8.860022573334675,0.9917,0.0071,0.7359,0.0614,0.7257,0.0841,0.9996,0.0004,0.9798,0.006,0.9172,0.0467,0.5049,0.106,0.9844,0.0145,0.7364,0.0382,0.5372,0.0597
0.125,1.0,0.75,5,True,70.8,16.192590898309017,1.0,0.0001,0.7359,0.0526,0.7283,0.074,1.0,0.0,0.9795,0.0065,1.0,0.0,0.7505,0.0967,0.8673,0.1012,0.5492,0.0505,0.8114,0.1441
0.075,0.5,0.75,3,True,240.0,40.08116764766216,0.9995,0.0007,0.7359,0.0622,0.7245,0.0881,1.0,0.0,0.9804,0.0078,1.0,0.0,0.7804,0.0605,0.7878,0.097,0.5365,0.0109,1.4165,0.4808
0.125,0.75,0.5,2,False,65.4,21.96132965009177,0.8844,0.0414,0.7359,0.0817,0.7254,0.1042,0.9932,0.0023,0.9779,0.0096,0.6471,0.0678,0.4703,0.0915,0.8895,0.0503,0.8073,0.1309,0.4399,0.0637
0.025,1.0,0.1,3,False,193.2,39.632057731084316,0.9318,0.0208,0.7357,0.0933,0.7255,0.1128,0.9963,0.0011,0.9793,0.0082,0.7118,0.0546,0.4834,0.1153,0.9292,0.032,0.7651,0.0939,1.2437,0.265
0.125,1.0,0.75,2,True,189.0,22.945587811167535,0.9786,0.0102,0.7357,0.0642,0.7232,0.0946,0.9991,0.0004,0.9806,0.0075,1.0,0.0,0.8304,0.061,0.6138,0.026,0.4918,0.0219,0.8708,0.3699
0.1,1.0,0.75,3,False,58.2,26.309694030908076,0.9261,0.05,0.7357,0.07,0.7247,0.0945,0.9959,0.0028,0.9797,0.0076,0.7443,0.1138,0.5148,0.0576,0.9127,0.0629,0.7729,0.1185,0.4847,0.0988
0.025,0.1,0.1,3,True,573.0,104.50358845513392,0.9945,0.0078,0.7357,0.0813,0.7218,0.1081,0.9998,0.0003,0.9801,0.0095,1.0,0.0,0.7803,0.0714,0.7126,0.115,0.5007,0.0224,2.6062,0.3747
0.075,0.0,0.1,3,False,67.8,18.806913622388976,0.9348,0.0346,0.7356,0.0894,0.725,0.1091,0.9964,0.0019,0.9796,0.0083,0.7251,0.0807,0.4867,0.1452,0.9325,0.0411,0.7685,0.0858,0.5143,0.0736
0.075,0.1,0.1,3,True,216.2,46.68725736215397,0.999,0.0011,0.7356,0.0671,0.7228,0.0938,1.0,0.0001,0.9809,0.0083,1.0,0.0,0.7861,0.071,0.7565,0.0942,0.5612,0.0691,1.0393,0.1828
0.025,1.0,1.0,3,True,584.4,85.46227237793295,0.9952,0.0066,0.7356,0.0671,0.7233,0.0953,0.9998,0.0003,0.9807,0.0087,1.0,0.0,0.8141,0.0648,0.6957,0.1044,0.5129,0.0384,2.563,0.7683
0.1,0.75,0.1,3,True,161.2,57.647202880972465,0.9926,0.0102,0.7355,0.0877,0.7196,0.1135,0.9997,0.0004,0.9807,0.0092,1.0,0.0,0.7959,0.0482,0.7548,0.1607,0.5453,0.0542,0.9999,0.4303
0.075,0.1,0.1,3,False,65.2,21.63792966066763,0.9297,0.0361,0.7355,0.089,0.7244,0.1092,0.9962,0.002,0.9796,0.008,0.7027,0.1016,0.4743,0.1632,0.9263,0.0444,0.7678,0.0972,0.5222,0.085
0.025,0.75,1.0,3,False,208.4,79.32717062898436,0.9241,0.0366,0.7355,0.0851,0.7243,0.106,0.9958,0.0021,0.9795,0.0087,0.7157,0.08,0.4912,0.1127,0.9238,0.0348,0.7883,0.1135,1.0226,0.3073
0.075,1.0,1.0,3,False,76.0,21.66794868002045,0.933,0.038,0.7355,0.0726,0.7261,0.0945,0.9963,0.0022,0.9797,0.0079,0.7423,0.0821,0.5027,0.0715,0.9223,0.0468,0.7795,0.0935,0.7991,0.205
0.025,1.0,0.1,5,False,145.4,22.142718893577634,0.995,0.0041,0.7355,0.0739,0.7255,0.0947,0.9997,0.0002,0.9788,0.0073,0.9235,0.0367,0.4765,0.1196,0.9856,0.0077,0.777,0.1052,1.3903,0.309
0.05,0.5,0.1,3,True,289.0,35.742132001323036,0.9967,0.0042,0.7354,0.0798,0.7219,0.1084,0.9999,0.0002,0.98,0.0091,1.0,0.0,0.7862,0.0679,0.7059,0.0622,0.5172,0.0224,1.5887,0.4824
0.075,1.0,0.75,2,True,276.4,83.0560052013098,0.9594,0.0449,0.7354,0.0887,0.7234,0.1164,0.9983,0.002,0.9796,0.0098,1.0,0.0,0.8889,0.0581,0.5688,0.0723,0.4748,0.0562,0.9603,0.2608
0.1,0.1,1.0,4,False,52.0,13.2664991614216,0.9739,0.0159,0.7354,0.0494,0.7261,0.0727,0.9986,0.0008,0.9798,0.0064,0.8445,0.0751,0.5181,0.0759,0.963,0.0193,0.769,0.1047,0.822,0.1504
0.05,0.0,0.1,3,False,83.6,19.32097306038182,0.9116,0.0413,0.7354,0.0886,0.7258,0.1066,0.9951,0.0024,0.9791,0.0082,0.6801,0.0853,0.498,0.0999,0.9073,0.0486,0.8008,0.1022,0.6488,0.2168
0.075,0.5,0.75,2,True,300.8,107.91987768710636,0.9713,0.0172,0.7353,0.0734,0.7229,0.1022,0.9988,0.0007,0.9803,0.0082,1.0,0.0,0.869,0.0613,0.5872,0.0583,0.4972,0.0156,1.0018,0.3624
0.125,0.5,0.1,5,False,33.2,6.1400325732035,0.9945,0.0049,0.7352,0.0686,0.7247,0.0844,0.9997,0.0002,0.9801,0.0069,0.9232,0.0411,0.4919,0.0667,0.9883,0.0137,0.7845,0.0919,0.5122,0.048
0.075,0.0,0.75,2,False,89.8,26.432934002868468,0.8592,0.0447,0.7352,0.0769,0.7246,0.0988,0.9915,0.0027,0.9777,0.0084,0.5972,0.0799,0.4634,0.0674,0.8751,0.0474,0.8451,0.1104,0.5014,0.0745
0.075,0.5,0.75,2,False,89.8,26.432934002868468,0.8592,0.0447,0.7352,0.0769,0.7246,0.0988,0.9915,0.0027,0.9777,0.0084,0.5972,0.0799,0.4634,0.0674,0.8751,0.0474,0.8451,0.1104,0.4894,0.0624
0.075,0.1,0.75,2,False,89.8,26.432934002868468,0.8592,0.0447,0.7352,0.0769,0.7246,0.0988,0.9915,0.0027,0.9777,0.0084,0.5972,0.0799,0.4634,0.0674,0.8751,0.0474,0.8451,0.1104,0.5055,0.08
0.125,0.1,0.75,4,False,44.0,11.789826122551595,0.9801,0.0161,0.7352,0.0495,0.7263,0.0741,0.999,0.0009,0.98,0.0065,0.8715,0.0517,0.508,0.0708,0.9664,0.0268,0.7683,0.0637,0.4988,0.0809
0.05,0.1,0.1,3,False,89.8,26.929537686339884,0.9174,0.0446,0.7352,0.09,0.7256,0.108,0.9954,0.0025,0.9791,0.0081,0.6961,0.0963,0.481,0.1221,0.9124,0.0519,0.7851,0.123,0.8914,0.2174
0.05,0.1,0.1,5,False,78.0,11.022703842524301,0.9969,0.0024,0.7352,0.0801,0.7269,0.0988,0.9998,0.0001,0.9792,0.0077,0.9322,0.0276,0.498,0.1542,0.9919,0.0081,0.7657,0.0871,1.0383,0.4537
0.075,0.75,0.75,5,False,58.4,10.784247771634329,0.9936,0.0047,0.7352,0.0621,0.7272,0.0811,0.9997,0.0002,0.9797,0.0055,0.9191,0.0491,0.466,0.0854,0.9806,0.0133,0.7487,0.0495,0.9039,0.3621
0.1,1.0,0.1,3,False,47.2,9.093954035511725,0.9277,0.0326,0.7351,0.0837,0.7267,0.1018,0.996,0.002,0.9801,0.0071,0.7195,0.0688,0.491,0.158,0.9248,0.0422,0.7883,0.0621,0.4475,0.0491
0.075,1.0,0.75,2,False,91.8,29.456747953567447,0.8627,0.042,0.7351,0.077,0.7245,0.0988,0.9917,0.0025,0.9779,0.0084,0.5917,0.0665,0.4763,0.0777,0.8767,0.0414,0.8484,0.1103,0.5067,0.0874
0.125,0.5,0.75,2,True,196.8,39.858499720887636,0.9825,0.0087,0.7351,0.07,0.7227,0.1003,0.9993,0.0004,0.9805,0.008,1.0,0.0,0.8383,0.0507,0.6213,0.0308,0.504,0.01,0.7857,0.1864
0.125,0.0,0.5,3,True,152.6,25.37321422287685,0.9997,0.0003,0.7351,0.0795,0.7212,0.1045,1.0,0.0,0.9804,0.0081,1.0,0.0,0.7742,0.0908,0.83,0.0982,0.5556,0.0342,1.1229,0.4075
0.125,0.1,1.0,2,False,60.6,14.604793733565703,0.8754,0.0378,0.7351,0.0729,0.7253,0.0949,0.9926,0.0023,0.9784,0.0083,0.6272,0.0586,0.4873,0.0716,0.8816,0.0286,0.8291,0.1212,0.4292,0.0497
0.125,0.0,1.0,2,False,60.6,14.604793733565703,0.8754,0.0378,0.7351,0.0729,0.7253,0.0949,0.9926,0.0023,0.9784,0.0083,0.6272,0.0586,0.4873,0.0716,0.8816,0.0286,0.8291,0.1212,0.7235,0.1915
0.1,0.0,1.0,5,True,92.4,9.762171889492626,1.0,0.0,0.7351,0.0543,0.7241,0.0775,1.0,0.0,0.9799,0.0063,1.0,0.0,0.729,0.1185,0.9021,0.0746,0.5947,0.0353,1.269,0.4865
0.025,0.0,0.1,4,False,147.2,21.649480363278933,0.9709,0.0132,0.735,0.0782,0.7263,0.0976,0.9985,0.0007,0.9791,0.0076,0.8123,0.0389,0.4771,0.1336,0.9668,0.0206,0.7607,0.0923,0.9802,0.1441
0.125,0.0,0.1,2,False,75.6,44.34298140630601,0.8885,0.0743,0.735,0.0783,0.7247,0.1022,0.9936,0.0041,0.9789,0.0088,0.6587,0.1264,0.4666,0.0977,0.9018,0.0598,0.8051,0.0893,0.4845,0.121
0.1,1.0,0.75,2,False,85.6,33.797928930631244,0.8897,0.0378,0.735,0.0739,0.7241,0.098,0.9934,0.0026,0.9784,0.0077,0.6446,0.0619,0.4815,0.0773,0.8978,0.0415,0.8187,0.1075,0.495,0.1059
0.025,0.5,0.75,3,True,638.6,181.4036934574376,0.9957,0.0081,0.7349,0.0731,0.7223,0.0998,0.9998,0.0003,0.9804,0.0097,1.0,0.0,0.8069,0.0502,0.7272,0.1362,0.5234,0.0381,2.7778,0.609
0.025,1.0,0.75,3,True,518.0,133.27040181525678,0.9927,0.0072,0.7349,0.0727,0.7215,0.1023,0.9997,0.0003,0.9812,0.009,1.0,0.0,0.8285,0.075,0.646,0.0759,0.5102,0.0267,2.3904,1.1268
0.075,1.0,0.5,3,False,85.2,25.645662401271682,0.9472,0.033,0.7349,0.0659,0.7243,0.0885,0.9971,0.0018,0.9795,0.0075,0.784,0.0914,0.481,0.0756,0.9319,0.037,0.7688,0.0958,0.5866,0.0978
0.05,0.0,0.5,3,False,123.8,55.75123317021786,0.9401,0.0449,0.7349,0.0894,0.7225,0.1086,0.9967,0.0025,0.9799,0.0085,0.7577,0.1108,0.4993,0.1162,0.9352,0.0476,0.7622,0.1217,0.7034,0.1988
0.075,0.0,0.5,3,True,208.0,34.8209706929603,0.9988,0.0009,0.7349,0.0792,0.7203,0.1079,0.9999,0.0,0.9809,0.0088,1.0,0.0,0.7927,0.0749,0.7405,0.0902,0.5282,0.0307,1.3378,0.5256
0.1,0.1,0.75,2,False,75.0,19.45507645834372,0.8776,0.0406,0.7349,0.0746,0.7237,0.0983,0.9926,0.0028,0.9781,0.0076,0.6285,0.0643,0.4686,0.0682,0.8865,0.0421,0.8332,0.1109,0.4881,0.0875
0.1,0.0,0.75,2,False,75.0,19.45507645834372,0.8776,0.0406,0.7349,0.0746,0.7237,0.0983,0.9926,0.0028,0.9781,0.0076,0.6285,0.0643,0.4686,0.0682,0.8865,0.0421,0.8332,0.1109,0.7468,0.2512
0.1,0.75,0.75,4,False,45.0,15.63649577111189,0.9615,0.0311,0.7348,0.06,0.7265,0.0834,0.998,0.0016,0.9798,0.0074,0.8224,0.1094,0.4646,0.0792,0.9487,0.0399,0.7443,0.0843,0.5054,0.0625
0.075,1.0,1.0,3,True,195.6,42.898717929560554,0.9972,0.0021,0.7348,0.0627,0.7236,0.0921,0.9999,0.0001,0.9809,0.0085,1.0,0.0,0.8171,0.0632,0.6945,0.075,0.5381,0.0348,1.0092,0.2656
0.125,0.5,1.0,2,True,200.8,45.05219195555306,0.9768,0.0211,0.7348,0.0761,0.7213,0.1051,0.999,0.0009,0.9805,0.0082,1.0,0.0,0.84,0.0525,0.6383,0.1157,0.4998,0.0446,0.9529,0.3593
0.025,0.1,0.5,4,False,171.4,50.86550894270105,0.969,0.0194,0.7347,0.074,0.7246,0.0957,0.9984,0.001,0.9795,0.0082,0.8255,0.0932,0.4769,0.1116,0.9627,0.0249,0.7486,0.1001,1.1165,0.2064
0.1,1.0,0.75,4,False,47.6,13.831124321616086,0.9663,0.028,0.7346,0.0567,0.7271,0.079,0.9982,0.0015,0.9798,0.007,0.8359,0.1071,0.4632,0.0875,0.9525,0.0427,0.7268,0.0701,0.8158,0.1637
0.125,0.5,0.5,4,False,37.8,10.353743284435827,0.9646,0.0255,0.7346,0.0547,0.7256,0.0782,0.9981,0.0014,0.9794,0.0065,0.8402,0.0839,0.494,0.0898,0.9457,0.0366,0.7614,0.1106,0.4735,0.0208
0.05,0.5,0.75,2,True,438.6,131.9708301102937,0.9685,0.0187,0.7346,0.0838,0.7218,0.1124,0.9987,0.0008,0.9801,0.0089,1.0,0.0,0.869,0.0613,0.5813,0.0536,0.497,0.0169,1.6035,0.3342
0.125,0.0,0.75,2,False,54.6,10.99090533122727,0.8628,0.041,0.7345,0.0699,0.7245,0.0921,0.9919,0.0025,0.9775,0.0087,0.616,0.0593,0.4854,0.0624,0.8693,0.0386,0.8205,0.1395,0.4613,0.116
0.125,0.1,0.75,2,False,54.6,10.99090533122727,0.8628,0.041,0.7345,0.0699,0.7245,0.0921,0.9919,0.0025,0.9775,0.0087,0.616,0.0593,0.4854,0.0624,0.8693,0.0386,0.8205,0.1395,0.4191,0.0438
0.025,0.5,0.5,4,False,169.8,40.87419723982356,0.9717,0.0166,0.7344,0.0744,0.7239,0.0967,0.9985,0.0009,0.9796,0.0081,0.8296,0.0679,0.4846,0.1276,0.9639,0.0234,0.7442,0.1017,1.0899,0.1929
0.075,1.0,0.1,3,False,76.6,22.930329260610282,0.947,0.0296,0.7344,0.0752,0.7251,0.0951,0.9971,0.0017,0.9802,0.0062,0.7615,0.0924,0.504,0.1416,0.9403,0.0182,0.79,0.0671,0.8354,0.4131
0.05,1.0,0.1,5,False,78.6,15.42076522096099,0.9957,0.0032,0.7344,0.0797,0.7262,0.0986,0.9998,0.0002,0.9791,0.0073,0.9232,0.0522,0.4827,0.1546,0.9922,0.0076,0.7504,0.086,0.7576,0.0802
0.1,1.0,1.0,3,False,58.0,19.96246477767713,0.9335,0.0376,0.7343,0.0776,0.7236,0.0991,0.9963,0.0021,0.9795,0.0086,0.7447,0.068,0.5124,0.0809,0.9196,0.055,0.7593,0.1157,0.5075,0.0732
0.025,0.75,0.1,3,True,547.2,129.57121593934355,0.9959,0.0048,0.7343,0.0725,0.7212,0.1011,0.9998,0.0002,0.9803,0.0087,1.0,0.0,0.8112,0.0566,0.6793,0.0538,0.513,0.0332,2.5099,1.2261
0.025,0.0,1.0,4,False,173.6,31.189741903388686,0.9688,0.0178,0.7343,0.0745,0.724,0.0953,0.9984,0.0009,0.9799,0.0077,0.8224,0.0649,0.4906,0.1109,0.9606,0.0223,0.774,0.1042,1.1124,0.155
0.025,0.0,0.75,3,True,660.6,140.46814585520804,0.9984,0.0021,0.7342,0.0734,0.7202,0.1013,0.9999,0.0001,0.9807,0.0091,1.0,0.0,0.8128,0.0542,0.7428,0.125,0.5408,0.0247,2.8725,0.642
