params_eta,params_gamma,params_lambda,params_max_depth,params_scale_pos_weight,param_n_estimators_mean,param_n_estimators_std,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
0.05,0.1,0.75,3,True,333.6,58.23057616063918,0.9995,0.0006,0.7447,0.0657,0.7318,0.0912,1.0,0.0,0.9812,0.0081,1.0,0.0,0.7807,0.0848,0.7434,0.0295,0.54,0.0098,1.4486,0.3091
0.125,0.1,1.0,3,False,47.2,23.931151246858143,0.9185,0.0538,0.7446,0.0747,0.7352,0.0954,0.9954,0.0031,0.9798,0.0087,0.7451,0.1241,0.4839,0.0533,0.9044,0.0658,0.7692,0.112,0.7073,0.0853
0.125,0.75,0.75,3,False,44.8,15.801898620102586,0.9284,0.0419,0.7445,0.055,0.7366,0.0767,0.9959,0.0025,0.98,0.0067,0.7465,0.0787,0.52,0.0369,0.915,0.0506,0.7693,0.0718,0.6249,0.1383
0.1,0.75,1.0,3,False,56.2,11.606032913963324,0.9332,0.0284,0.7439,0.0722,0.7323,0.0953,0.9963,0.0015,0.9803,0.0081,0.7392,0.0647,0.5264,0.077,0.9247,0.0377,0.7898,0.1205,0.4862,0.0491
0.1,0.5,0.75,3,False,63.2,28.39366126444422,0.9351,0.0455,0.7437,0.0576,0.7353,0.0811,0.9964,0.0026,0.98,0.0072,0.7675,0.11,0.5252,0.0545,0.9213,0.0584,0.767,0.0717,0.5128,0.1096
0.125,0.0,1.0,3,False,45.6,21.22027332528966,0.9178,0.0524,0.7437,0.0732,0.7345,0.0941,0.9954,0.003,0.9797,0.0086,0.7338,0.1012,0.5013,0.0775,0.903,0.0633,0.7596,0.0964,0.4663,0.0787
0.075,0.1,0.5,3,False,76.2,23.14519388555646,0.9364,0.0333,0.7434,0.0763,0.7315,0.0984,0.9965,0.0018,0.98,0.0077,0.753,0.0935,0.5041,0.0995,0.9224,0.0358,0.7953,0.1339,0.5562,0.0751
0.1,1.0,0.5,3,False,59.8,12.316655390161731,0.9456,0.0229,0.7433,0.0692,0.7336,0.0921,0.997,0.0013,0.9805,0.0073,0.7698,0.0465,0.5268,0.0901,0.9323,0.0304,0.7666,0.0869,0.7791,0.104
0.05,0.1,0.5,3,True,322.2,75.6154746067232,0.998,0.0018,0.7433,0.0781,0.7301,0.1047,0.9999,0.0001,0.9811,0.0088,1.0,0.0,0.809,0.0676,0.7388,0.1235,0.5382,0.0227,1.7222,0.2492
0.075,0.75,0.75,3,True,225.8,60.78404395892066,0.9982,0.0025,0.7433,0.0714,0.7332,0.0954,0.9999,0.0001,0.9807,0.0088,1.0,0.0,0.7987,0.0782,0.7584,0.1298,0.5404,0.039,1.3718,0.3087
