params_C,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
1.0,0.8068,0.0104,0.718,0.0597,0.7085,0.0846,0.9879,0.0016,0.9755,0.0069,0.6146,0.0226,0.5429,0.1376,0.7874,0.0136,0.7764,0.0649,1.8853,0.432
100.0,0.818,0.0129,0.7065,0.0539,0.6972,0.0788,0.9885,0.0018,0.972,0.0065,0.6447,0.0354,0.5525,0.1252,0.776,0.0082,0.716,0.0113,14.1689,3.4961
25.0,0.8177,0.0127,0.7064,0.0547,0.697,0.0797,0.9885,0.0018,0.972,0.0066,0.6378,0.0277,0.5525,0.1252,0.7752,0.0088,0.716,0.0113,10.7674,3.3949
50.0,0.818,0.0129,0.7062,0.0539,0.6969,0.0788,0.9885,0.0018,0.972,0.0065,0.6423,0.0326,0.5525,0.1252,0.7764,0.0082,0.716,0.0113,11.3115,3.563
0.1,0.7421,0.0155,0.7044,0.0637,0.6941,0.089,0.984,0.0011,0.977,0.0089,0.4933,0.0234,0.4304,0.1059,0.7832,0.0228,0.7907,0.0952,0.3377,0.0699
